year,category,word,similarity_with_he,similarity_with_she,gender_bias
1969,positive_agency,influence,0.44689006,0.4336054,0.013284653
1969,positive_agency,power,0.35785517,0.28425318,0.07360199
1969,positive_agency,authority,0.43415406,0.39048225,0.043671817
1969,positive_agency,control,0.3579072,0.30692267,0.05098453
1969,positive_agency,leadership,0.54910016,0.421516,0.12758416
1969,positive_agency,mastery,0.5169202,0.52043563,-0.0035154223
1969,positive_agency,dominion,0.6026051,0.54956543,0.05303967
1969,positive_agency,sovereignty,0.58897316,0.5620744,0.026898742
1969,positive_agency,creator,0.5542581,0.47317195,0.08108616
1969,positive_agency,command,0.43334892,0.27514485,0.15820408
1969,positive_agency,dominance,0.6660879,0.6471852,0.018902719
1969,positive_agency,lead,0.42787242,0.33099443,0.09687799
1969,positive_agency,dominate,0.6446772,0.63425165,0.010425568
1969,positive_agency,create,0.3671423,0.30277506,0.064367235
1969,positive_agency,initiate,0.643561,0.56698775,0.07657325
1969,positive_agency,direct,0.4260515,0.36252752,0.06352398
1969,positive_agency,rule,0.48609126,0.356719,0.12937227
1969,positive_agency,guide,0.46134743,0.4287608,0.032586634
1969,positive_agency,shape,0.38814247,0.3207887,0.067353755
1969,positive_agency,inspire,0.5098955,0.5464221,-0.03652662
1969,positive_agency,enforce,0.6357879,0.55453485,0.08125305
1969,positive_agency,independent,0.485562,0.40335947,0.082202524
1969,positive_agency,powerful,0.44465104,0.32444385,0.12020719
1969,positive_agency,dominant,0.5092285,0.4286498,0.080578715
1969,positive_agency,influential,0.62847716,0.5497004,0.07877678
1969,positive_agency,authoritative,0.5412694,0.5494925,-0.008223057
1969,positive_agency,sovereign,0.6216185,0.6074299,0.014188588
1969,positive_agency,commanding,0.53186923,0.40255788,0.12931135
1969,positive_agency,masterful,0.63931274,0.67030036,-0.03098762
1969,negative_agency,victim,0.48494184,0.3971945,0.087747335
1969,negative_agency,follower,0.7029523,0.62040776,0.082544565
1969,negative_agency,subordinate,0.61966985,0.5212406,0.09842926
1969,negative_agency,dependent,0.42085102,0.43410197,-0.013250947
1969,negative_agency,object,0.40767944,0.42862388,-0.020944446
1969,negative_agency,servant,0.5989533,0.6143939,-0.015440583
1969,negative_agency,puppet,0.46878603,0.473324,-0.00453797
1969,negative_agency,oppressed,0.5951721,0.56790537,0.02726674
1969,negative_agency,captive,0.61408013,0.60384476,0.010235369
1969,negative_agency,helpless,0.45248812,0.53454363,-0.08205551
1969,negative_agency,suffer,0.47958046,0.49105734,-0.011476874
1969,negative_agency,submit,0.6138884,0.53230625,0.08158213
1969,negative_agency,endure,0.5560874,0.5247164,0.031370997
1969,negative_agency,yield,0.48160508,0.5178486,-0.036243528
1969,negative_agency,depend,0.5662477,0.4519091,0.11433861
1969,negative_agency,obey,0.5832774,0.5733537,0.0099236965
1969,negative_agency,serve,0.49374115,0.4136891,0.08005205
1969,negative_agency,succumb,0.5878588,0.6229156,-0.03505683
1969,negative_agency,resist,0.46785235,0.4809778,-0.013125449
1969,negative_agency,conform,0.5654891,0.5170051,0.048484027
1969,negative_agency,bow,0.44310248,0.3565143,0.086588174
1969,negative_agency,powerless,0.62959707,0.6070432,0.022553861
1969,negative_agency,submissive,0.6381304,0.7377973,-0.09966689
1969,negative_agency,controlled,0.41322434,0.3735107,0.03971365
1969,negative_agency,defenseless,0.64169294,0.62830645,0.013386488
1969,negative_agency,resigned,0.58573306,0.49021143,0.09552163
1969,negative_agency,passive,0.47769484,0.5177782,-0.04008338
1969,high_competence,intelligent,0.37357125,0.39428478,-0.020713538
1969,high_competence,successful,0.46471387,0.41065443,0.054059446
1969,high_competence,confident,0.51545095,0.44190678,0.073544174
1969,high_competence,skilled,0.5142355,0.40805182,0.10618368
1969,high_competence,expert,0.41511765,0.31575432,0.09936333
1969,high_competence,proficient,0.5541543,0.519695,0.034459293
1969,high_competence,competent,0.5393628,0.51136285,0.027999938
1969,high_competence,capable,0.3874337,0.3494292,0.038004518
1969,high_competence,brilliant,0.3492367,0.34476486,0.0044718385
1969,high_competence,accomplished,0.48465133,0.41292354,0.07172778
1969,high_competence,talented,0.5091317,0.5184406,-0.009308875
1969,high_competence,resourceful,0.5834099,0.55320835,0.030201554
1969,high_competence,experienced,0.39797714,0.38002092,0.017956227
1969,high_competence,sharp,0.4242325,0.3726855,0.05154702
1969,high_competence,ingenious,0.50478697,0.4405081,0.06427887
1969,high_competence,brilliant,0.3492367,0.34476486,0.0044718385
1969,high_competence,outstanding,0.48632345,0.4169079,0.06941554
1969,high_competence,accomplished,0.48465133,0.41292354,0.07172778
1969,high_competence,efficient,0.34077546,0.32622728,0.0145481825
1969,high_competence,specialized,0.3778188,0.31769,0.06012878
1969,high_competence,ingenious,0.50478697,0.4405081,0.06427887
1969,high_competence,elite,0.50794554,0.40933427,0.098611265
1969,high_competence,excel,0.691353,0.6807851,0.0105679035
1969,high_competence,master,0.44823518,0.3700956,0.07813957
1969,high_competence,achieve,0.41622296,0.42149454,-0.005271584
1969,high_competence,succeed,0.5791362,0.50847715,0.07065904
1969,high_competence,surpass,0.64495844,0.61641896,0.028539479
1969,high_competence,excelled,0.5970003,0.55566835,0.041331947
1969,high_competence,advanced,0.4391847,0.41395193,0.025232762
1969,high_competence,gifted,0.57615894,0.5823334,-0.006174445
1969,high_competence,exceptional,0.53865135,0.5260199,0.012631476
1969,high_competence,dynamic,0.45342997,0.3970692,0.05636078
1969,low_competence,incompetent,0.6446344,0.62647265,0.018161774
1969,low_competence,unskilled,0.5132827,0.47495988,0.038322836
1969,low_competence,ignorant,0.5247311,0.5051527,0.019578397
1969,low_competence,unqualified,0.7132292,0.69817114,0.015058041
1969,low_competence,incapable,0.49123693,0.51675725,-0.025520325
1969,low_competence,unfit,0.5825101,0.5819525,0.00055760145
1969,low_competence,untrained,0.5787346,0.56004643,0.018688142
1969,low_competence,inefficient,0.6671536,0.6694475,-0.0022938848
1969,low_competence,unaware,0.42697328,0.5421548,-0.115181506
1969,low_competence,amateur,0.49640343,0.43365893,0.0627445
1969,low_competence,clumsy,0.44888365,0.45546547,-0.006581813
1969,low_competence,mediocre,0.5309982,0.5055366,0.025461555
1969,low_competence,unprofessional,0.71341366,0.70193005,0.01148361
1969,low_competence,failure,0.47454184,0.42072517,0.053816676
1969,low_competence,inexperienced,0.648703,0.6105099,0.038193107
1969,low_competence,deficient,0.49444142,0.54302996,-0.048588544
1969,low_competence,awkward,0.45614025,0.4917942,-0.03565395
1969,low_competence,slow,0.37143752,0.32168946,0.049748063
1969,low_competence,dull,0.37429386,0.3763645,-0.0020706356
1969,low_competence,fail,0.5120743,0.4957831,0.016291201
1969,low_competence,lack,0.38289133,0.38038832,0.0025030077
1969,low_competence,inadequate,0.48809212,0.5361519,-0.04805976
1969,low_competence,unsuccessful,0.6584464,0.67668295,-0.018236578
1969,low_competence,weak,0.40988955,0.40759012,0.002299428
1969,low_competence,unreliable,0.57574344,0.50598085,0.06976259
1969,low_competence,poor,0.4193445,0.43291909,-0.01357457
1969,low_competence,insufficient,0.49005362,0.4642679,0.025785714
1969,high_warmth,considerate,0.5963814,0.6290424,-0.03266096
1969,high_warmth,caring,0.5936112,0.6072554,-0.013644218
1969,high_warmth,compassionate,0.5877281,0.65104926,-0.06332117
1969,high_warmth,kind,0.4319557,0.4329662,-0.0010105073
